len,ngram,pct
3,WSAAccept NtCreateSection Process32NextW,0.787952426571956
3,Process32NextW WSAAccept NtCreateSection,0.7351683529219338
2,InternetConnectA NtLoadKey,0.7150501203355375
2,NtLoadKey InternetConnectA,0.7061242610463351
3,NtCreateSection Process32NextW WSAAccept,0.7045353646283617
2,InternetConnectA RemoveDirectoryW,0.7033670584386756
2,RemoveDirectoryW InternetConnectA,0.7014043040400028
3,SetStdHandle LookupAccountSidW GetAdaptersAddresses,0.6727808023926911
3,OleInitialize RemoveDirectoryW InternetConnectA,0.6649297847979999
3,RemoveDirectoryW InternetConnectA NtLoadKey,0.5382853938360166
3,GetAdaptersAddresses SetStdHandle LookupAccountSidW,0.4855947846811692
3,NtLoadKey InternetConnectA SetStdHandle,0.4825805547117788
3,LookupAccountSidW GetAdaptersAddresses SetStdHandle,0.4569712830338575
4,RemoveDirectoryW InternetConnectA NtLoadKey InternetConnectA,0.4178797579269575
3,CryptHashData OleInitialize RemoveDirectoryW,0.4177862934317826
4,CryptHashData OleInitialize RemoveDirectoryW InternetConnectA,0.4168516484800336
4,InternetConnectA RemoveDirectoryW InternetConnectA NtLoadKey,0.3836016543215646
3,RemoveDirectoryW InternetConnectA GetComputerNameW,0.374932822394093
3,GetFileVersionInfoExW RemoveDirectoryW InternetConnectA,0.3736243194616445
3,NtLoadKey InternetConnectA CreateActCtxW,0.3617776946982265
3,RemoveDirectoryW InternetConnectA SetStdHandle,0.3592775194522981
2,OleInitialize NtQueryKey,0.3504918569058579
3,NtLoadKey InternetConnectA RemoveDirectoryW,0.347944949412342
5,RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA NtLoadKey,0.3339720073836951
4,OleInitialize RemoveDirectoryW InternetConnectA RemoveDirectoryW,0.3252330770848424
6,InternetConnectA RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA NtLoadKey,0.3245320933710306
5,OleInitialize RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA,0.3238778419048064
7,RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA NtLoadKey,0.323737645162044
4,NtLoadKey InternetConnectA RemoveDirectoryW InternetConnectA,0.3203028249643667
4,GetFileVersionInfoExW RemoveDirectoryW InternetConnectA RemoveDirectoryW,0.31392387316868
5,GetFileVersionInfoExW RemoveDirectoryW InternetConnectA RemoveDirectoryW InternetConnectA,0.3138771409210926
2,FindResourceW GetFileType,0.3058391943360516
2,GetFileType FindResourceW,0.3055354347267331
3,Process32NextW NtLoadKey InternetConnectA,0.2929644601257097
3,InternetConnectA NtSetValueKey OleInitialize,0.2893660770614762
