t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,malware
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
198,208,106,271,144,194,257,127,114,127,114,215,280,117,172,111,81,140,111,81,140,111,81,140,111,81,140,111,240,117,172,117,172,117,111,172,117,215,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,86,172,117,215,106,135,171,208,215,260,274,158,215,274,158,215,298,111,81,111,172,117,215,86,215,172,111,172,117,215,86,215,260,298,111,81,172,117,215,86,215,172,117,215,86,215,297,0
82,228,16,29,82,29,82,29,82,194,144,194,297,93,297,93,127,297,93,215,16,252,172,117,172,117,252,29,82,29,252,29,82,252,297,29,82,252,29,82,252,29,82,252,108,252,208,29,82,252,286,73,286,297,135,171,215,248,208,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,73,286,208,286,73,286,257,114,0
82,240,117,240,117,240,117,240,117,240,117,240,117,16,208,262,240,172,117,31,261,240,117,240,117,56,60,81,140,117,110,274,158,215,274,158,215,35,208,35,240,117,56,240,117,240,117,260,117,135,171,100,215,100,89,215,178,215,100,89,215,208,187,208,274,158,266,215,208,60,81,240,117,240,117,71,297,135,171,215,240,117,240,117,56,240,178,215,117,35,240,117,208,117,35,240,117,35,208,240,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
80,39,215,86,172,82,208,20,297,298,117,240,262,112,123,65,274,158,215,274,158,215,274,158,215,260,72,274,158,215,89,117,192,89,133,274,173,215,173,215,173,215,158,215,117,15,240,117,247,117,20,172,117,215,208,89,86,187,135,171,82,208,298,15,117,208,297,20,215,297,20,215,39,93,187,135,171,240,117,106,224,117,89,83,93,89,83,93,89,83,39,172,240,117,172,240,117,172,240,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
82,215,274,158,215,274,158,215,31,260,141,122,65,260,141,65,240,117,50,293,256,260,141,260,141,65,261,25,213,87,141,65,172,117,60,81,140,60,81,208,187,208,274,158,208,215,35,208,35,240,117,60,81,240,117,240,117,71,297,135,171,215,35,215,274,35,65,260,141,65,35,60,81,172,117,225,35,225,35,225,215,275,240,117,31,117,215,260,141,65,215,35,156,215,156,215,208,260,141,65,0
198,208,106,271,144,194,257,127,114,127,114,215,280,117,240,117,172,117,172,117,111,172,117,215,260,141,82,260,141,65,260,141,65,260,141,65,240,117,65,86,172,117,215,106,135,171,208,215,260,298,111,81,297,135,171,8,178,215,2,81,140,228,172,117,215,135,171,86,172,117,262,208,262,172,117,172,117,99,35,0,117,172,228,20,80,0,172,86,215,172,117,172,117,172,117,172,117,172,117,172,0
240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,240,117,228,208,187,208,93,208,172,117,82,172,117,208,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,257,215,297,93,199,208,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,264,199,208,264,208,187,208,187,215,208,82,147,208,187,208,240,117,39,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,261,106,144,297,117,0
286,110,172,240,117,240,117,240,117,106,171,260,141,65,260,141,65,260,141,65,260,141,65,260,141,65,260,215,274,158,215,274,158,215,240,117,71,297,135,171,215,112,117,56,240,117,275,112,240,117,260,141,65,260,117,260,141,65,117,260,141,65,117,9,117,260,65,141,65,260,65,141,65,117,215,260,65,141,65,260,240,117,202,260,141,65,202,65,117,260,297,215,114,215,117,71,25,71,275,260,0
16,215,274,158,215,274,158,215,274,158,257,114,215,172,240,117,198,208,198,208,187,208,82,172,240,117,297,82,172,240,117,297,16,240,208,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,215,274,158,0
82,16,215,274,158,215,274,158,215,274,158,208,158,25,235,112,123,65,208,240,25,50,235,297,135,171,215,93,153,25,235,71,260,141,65,260,141,65,198,172,117,260,275,112,71,25,71,275,260,240,117,141,65,260,141,65,86,99,71,215,260,141,65,112,123,65,240,25,50,235,93,153,25,235,112,123,65,240,25,50,235,93,153,25,235,71,260,141,65,260,141,65,198,172,117,260,275,112,71,25,0
