Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
10,Benign Mimicry,0.1,CNN,99.76%,12808/12839,31,14.118
10,Benign Mimicry,0.1,DGCNN,97.69%,12543/12839,296,27.6748
10,Benign Mimicry,0.1,GAT,95.63%,12278/12839,561,54.0175
10,Benign Mimicry,0.1,HYBRID-DGCNN,96.48%,12387/12839,452,28.1669
10,Benign Mimicry,0.1,HYBRID-GAT,98.17%,12604/12839,235,83.7541
10,Benign Mimicry,0.1,LSTM,97.91%,12571/12839,268,53.4945
10,Benign Mimicry,0.1,SGAN,99.96%,12834/12839,5,15.0211
10,Benign Mimicry,0.2,CNN,99.67%,12797/12839,42,13.4157
10,Benign Mimicry,0.2,DGCNN,96.80%,12428/12839,411,26.9879
10,Benign Mimicry,0.2,GAT,92.78%,11912/12839,927,52.5035
10,Benign Mimicry,0.2,HYBRID-DGCNN,94.39%,12119/12839,720,27.1762
10,Benign Mimicry,0.2,HYBRID-GAT,94.95%,12191/12839,648,83.229
10,Benign Mimicry,0.2,LSTM,95.26%,12230/12839,609,52.0202
10,Benign Mimicry,0.2,SGAN,99.86%,12821/12839,18,14.4129
10,Benign Mimicry,0.3,CNN,99.63%,12791/12839,48,14.2599
10,Benign Mimicry,0.3,DGCNN,96.26%,12359/12839,480,28.5206
10,Benign Mimicry,0.3,GAT,90.94%,11676/12839,1163,55.9245
10,Benign Mimicry,0.3,HYBRID-DGCNN,92.46%,11871/12839,968,28.976
10,Benign Mimicry,0.3,HYBRID-GAT,90.87%,11667/12839,1172,87.418
10,Benign Mimicry,0.3,LSTM,93.40%,11991/12839,848,54.5698
10,Benign Mimicry,0.3,SGAN,99.77%,12809/12839,30,15.6824
10,Benign Mimicry,0.4,CNN,99.41%,12763/12839,76,14.5017
10,Benign Mimicry,0.4,DGCNN,95.79%,12299/12839,540,28.5236
10,Benign Mimicry,0.4,GAT,90.99%,11682/12839,1157,55.9305
10,Benign Mimicry,0.4,HYBRID-DGCNN,92.17%,11834/12839,1005,29.0181
10,Benign Mimicry,0.4,HYBRID-GAT,90.24%,11586/12839,1253,87.3024
10,Benign Mimicry,0.4,LSTM,91.59%,11759/12839,1080,54.916
10,Benign Mimicry,0.4,SGAN,99.38%,12760/12839,79,15.6893
10,Call Reordering,0.05,CNN,99.86%,12821/12839,18,15.1475
10,Call Reordering,0.05,DGCNN,99.81%,12815/12839,24,29.3696
10,Call Reordering,0.05,GAT,99.38%,12760/12839,79,58.0838
10,Call Reordering,0.05,HYBRID-DGCNN,99.84%,12819/12839,20,29.8875
10,Call Reordering,0.05,HYBRID-GAT,99.84%,12818/12839,21,90.2524
