Technique,Rate,Model,mean,std,TPR (%) mean +/- std
Benign Mimicry,0.1,CNN,99.782,0.11777096416349675,99.78% ± 0.12%
Benign Mimicry,0.1,DGCNN,97.80799999999999,0.08438009243892002,97.81% ± 0.08%
Benign Mimicry,0.1,GAT,96.854,0.726656727760777,96.85% ± 0.73%
Benign Mimicry,0.1,HYBRID-DGCNN,96.926,0.3472463102755755,96.93% ± 0.35%
Benign Mimicry,0.1,HYBRID-GAT,96.98400000000001,1.5342522608749838,96.98% ± 1.53%
Benign Mimicry,0.1,LSTM,98.018,0.4368867130046402,98.02% ± 0.44%
Benign Mimicry,0.1,LSTM-SGAN,97.62,0.6460263152534876,97.62% ± 0.65%
Benign Mimicry,0.1,SGAN,99.86,0.06595452979136146,99.86% ± 0.07%
Benign Mimicry,0.1,TRANSFORMER,97.42999999999999,2.141413084857756,97.43% ± 2.14%
Benign Mimicry,0.1,TRANSGAN,96.72999999999999,1.4584409484103225,96.73% ± 1.46%
Benign Mimicry,0.2,CNN,99.542,0.2501399608219302,99.54% ± 0.25%
Benign Mimicry,0.2,DGCNN,96.87,0.09433981132056589,96.87% ± 0.09%
Benign Mimicry,0.2,GAT,94.03399999999999,0.9827665032956734,94.03% ± 0.98%
Benign Mimicry,0.2,HYBRID-DGCNN,94.978,0.443305763553775,94.98% ± 0.44%
Benign Mimicry,0.2,HYBRID-GAT,91.89000000000001,4.201184356821296,91.89% ± 4.20%
Benign Mimicry,0.2,LSTM,95.33,1.5170365849246963,95.33% ± 1.52%
Benign Mimicry,0.2,LSTM-SGAN,95.33399999999999,1.393782622936587,95.33% ± 1.39%
Benign Mimicry,0.2,SGAN,99.578,0.21695621678117302,99.58% ± 0.22%
Benign Mimicry,0.2,TRANSFORMER,92.984,6.833017634983833,92.98% ± 6.83%
Benign Mimicry,0.2,TRANSGAN,89.342,4.6842309934502575,89.34% ± 4.68%
Benign Mimicry,0.3,CNN,99.316,0.5036665563644265,99.32% ± 0.50%
Benign Mimicry,0.3,DGCNN,96.27000000000001,0.24758836806279327,96.27% ± 0.25%
Benign Mimicry,0.3,GAT,92.48400000000001,1.333952772777208,92.48% ± 1.33%
Benign Mimicry,0.3,HYBRID-DGCNN,93.63399999999999,0.8645403402965146,93.63% ± 0.86%
Benign Mimicry,0.3,HYBRID-GAT,85.944,7.137956990624141,85.94% ± 7.14%
Benign Mimicry,0.3,LSTM,93.034,3.2094360875393733,93.03% ± 3.21%
Benign Mimicry,0.3,LSTM-SGAN,93.62,1.8399864129933166,93.62% ± 1.84%
Benign Mimicry,0.3,SGAN,99.238,0.35351096164050944,99.24% ± 0.35%
Benign Mimicry,0.3,TRANSFORMER,88.11800000000001,11.378320174788549,88.12% ± 11.38%
Benign Mimicry,0.3,TRANSGAN,79.196,8.761836565469595,79.20% ± 8.76%
Benign Mimicry,0.4,CNN,99.088,0.6938083308810878,99.09% ± 0.69%
Benign Mimicry,0.4,DGCNN,96.138,0.33357158152336575,96.14% ± 0.33%
Benign Mimicry,0.4,GAT,92.336,1.223858651969255,92.34% ± 1.22%
Benign Mimicry,0.4,HYBRID-DGCNN,93.136,0.8067403547610522,93.14% ± 0.81%
Benign Mimicry,0.4,HYBRID-GAT,83.934,8.575536717897016,83.93% ± 8.58%
Benign Mimicry,0.4,LSTM,91.134,4.301177745687801,91.13% ± 4.30%
Benign Mimicry,0.4,LSTM-SGAN,92.294,1.9824807691374973,92.29% ± 1.98%
Benign Mimicry,0.4,SGAN,98.65799999999999,0.627550794756881,98.66% ± 0.63%
Benign Mimicry,0.4,TRANSFORMER,85.298,14.264836837482582,85.30% ± 14.26%
Benign Mimicry,0.4,TRANSGAN,72.76,10.462612006568913,72.76% ± 10.46%
Benign Mimicry,All,All,93.8381,7.027390659941796,93.84% ± 7.03%
Call Reordering,0.05,CNN,99.884,0.06348228099241399,99.88% ± 0.06%
Call Reordering,0.05,DGCNN,99.80600000000001,0.02302172886644374,99.81% ± 0.02%
Call Reordering,0.05,GAT,99.53999999999999,0.09617692030835735,99.54% ± 0.10%
Call Reordering,0.05,HYBRID-DGCNN,99.83200000000001,0.021679483388675716,99.83% ± 0.02%
Call Reordering,0.05,HYBRID-GAT,99.616,0.20647033685253616,99.62% ± 0.21%
Call Reordering,0.05,LSTM,99.72999999999999,0.09949874371065905,99.73% ± 0.10%
Call Reordering,0.05,LSTM-SGAN,99.768,0.05630275304103885,99.77% ± 0.06%
Call Reordering,0.05,SGAN,99.874,0.02509980079602489,99.87% ± 0.03%
Call Reordering,0.05,TRANSFORMER,99.644,0.07861297602813351,99.64% ± 0.08%
Call Reordering,0.05,TRANSGAN,99.714,0.1392120684423627,99.71% ± 0.14%
Call Reordering,0.1,CNN,99.874,0.058137767414996634,99.87% ± 0.06%
Call Reordering,0.1,DGCNN,99.798,0.028635642126552466,99.80% ± 0.03%
Call Reordering,0.1,GAT,99.498,0.11584472366059394,99.50% ± 0.12%
Call Reordering,0.1,HYBRID-DGCNN,99.832,0.020493901531915076,99.83% ± 0.02%
Call Reordering,0.1,HYBRID-GAT,99.616,0.1976866206904229,99.62% ± 0.20%
Call Reordering,0.1,LSTM,99.738,0.09203260291874754,99.74% ± 0.09%
Call Reordering,0.1,LSTM-SGAN,99.76599999999999,0.057271284253109116,99.77% ± 0.06%
Call Reordering,0.1,SGAN,99.9,0.04582575694956265,99.90% ± 0.05%
Call Reordering,0.1,TRANSFORMER,99.612,0.05890670590009245,99.61% ± 0.06%
Call Reordering,0.1,TRANSGAN,99.69800000000001,0.13122499761859394,99.70% ± 0.13%
Call Reordering,0.15,CNN,99.892,0.04549725266430607,99.89% ± 0.05%
Call Reordering,0.15,DGCNN,99.798,0.01923538406167112,99.80% ± 0.02%
Call Reordering,0.15,GAT,99.404,0.12953763931769094,99.40% ± 0.13%
Call Reordering,0.15,HYBRID-DGCNN,99.828,0.021679483388682953,99.83% ± 0.02%
Call Reordering,0.15,HYBRID-GAT,99.57000000000001,0.2367488120350322,99.57% ± 0.24%
Call Reordering,0.15,LSTM,99.704,0.1538830724933726,99.70% ± 0.15%
Call Reordering,0.15,LSTM-SGAN,99.77000000000001,0.055677643628300785,99.77% ± 0.06%
Call Reordering,0.15,SGAN,99.892,0.060991802727908974,99.89% ± 0.06%
Call Reordering,0.15,TRANSFORMER,99.614,0.04219004621945434,99.61% ± 0.04%
Call Reordering,0.15,TRANSGAN,99.672,0.1275539101713521,99.67% ± 0.13%
Call Reordering,0.2,CNN,99.896,0.04037325847636933,99.90% ± 0.04%
Call Reordering,0.2,DGCNN,99.77799999999999,0.03114482300479811,99.78% ± 0.03%
Call Reordering,0.2,GAT,99.388,0.108489630840924,99.39% ± 0.11%
Call Reordering,0.2,HYBRID-DGCNN,99.822,0.027748873851023627,99.82% ± 0.03%
Call Reordering,0.2,HYBRID-GAT,99.548,0.26864474683120476,99.55% ± 0.27%
Call Reordering,0.2,LSTM,99.696,0.1566205605915144,99.70% ± 0.16%
Call Reordering,0.2,LSTM-SGAN,99.764,0.05594640292280014,99.76% ± 0.06%
Call Reordering,0.2,SGAN,99.872,0.0906642156531428,99.87% ± 0.09%
