Seed,Technique,Rate,Total Samples,Unaffected Samples,Unaffected (%)
10,Benign Mimicry,0.1,12839,1,0.01%
10,Benign Mimicry,0.2,12839,1,0.01%
10,Benign Mimicry,0.3,12839,1,0.01%
10,Benign Mimicry,0.4,12839,1,0.01%
10,Call Reordering,0.05,12839,8108,63.15%
10,Call Reordering,0.1,12839,3346,26.06%
10,Call Reordering,0.15,12839,1997,15.55%
10,Call Reordering,0.2,12839,1068,8.32%
10,Stalling Padding,0.3,12839,0,0.00%
10,Stalling Padding,0.5,12839,0,0.00%
10,Stalling Padding,0.7,12839,0,0.00%
10,Stalling Padding,0.9,12839,0,0.00%
20,Benign Mimicry,0.1,12839,1,0.01%
20,Benign Mimicry,0.2,12839,1,0.01%
20,Benign Mimicry,0.3,12839,1,0.01%
20,Benign Mimicry,0.4,12839,1,0.01%
20,Call Reordering,0.05,12839,8102,63.10%
20,Call Reordering,0.1,12839,3348,26.08%
20,Call Reordering,0.15,12839,2013,15.68%
20,Call Reordering,0.2,12839,1065,8.30%
20,Stalling Padding,0.3,12839,0,0.00%
20,Stalling Padding,0.5,12839,0,0.00%
20,Stalling Padding,0.7,12839,0,0.00%
20,Stalling Padding,0.9,12839,0,0.00%
30,Benign Mimicry,0.1,12839,1,0.01%
30,Benign Mimicry,0.2,12839,1,0.01%
30,Benign Mimicry,0.3,12839,1,0.01%
30,Benign Mimicry,0.4,12839,1,0.01%
30,Call Reordering,0.05,12839,8108,63.15%
30,Call Reordering,0.1,12839,3325,25.90%
30,Call Reordering,0.15,12839,2026,15.78%
30,Call Reordering,0.2,12839,1078,8.40%
30,Stalling Padding,0.3,12839,0,0.00%
30,Stalling Padding,0.5,12839,0,0.00%
30,Stalling Padding,0.7,12839,0,0.00%
30,Stalling Padding,0.9,12839,0,0.00%
40,Benign Mimicry,0.1,12839,1,0.01%
40,Benign Mimicry,0.2,12839,1,0.01%
40,Benign Mimicry,0.3,12839,1,0.01%
40,Benign Mimicry,0.4,12839,1,0.01%
40,Call Reordering,0.05,12839,8111,63.17%
40,Call Reordering,0.1,12839,3345,26.05%
40,Call Reordering,0.15,12839,2008,15.64%
40,Call Reordering,0.2,12839,1085,8.45%
40,Stalling Padding,0.3,12839,0,0.00%
40,Stalling Padding,0.5,12839,0,0.00%
40,Stalling Padding,0.7,12839,0,0.00%
40,Stalling Padding,0.9,12839,0,0.00%
50,Benign Mimicry,0.1,12839,1,0.01%
50,Benign Mimicry,0.2,12839,1,0.01%
50,Benign Mimicry,0.3,12839,1,0.01%
50,Benign Mimicry,0.4,12839,1,0.01%
50,Call Reordering,0.05,12839,8105,63.13%
50,Call Reordering,0.1,12839,3337,25.99%
50,Call Reordering,0.15,12839,2012,15.67%
50,Call Reordering,0.2,12839,1095,8.53%
50,Stalling Padding,0.3,12839,0,0.00%
50,Stalling Padding,0.5,12839,0,0.00%
50,Stalling Padding,0.7,12839,0,0.00%
50,Stalling Padding,0.9,12839,0,0.00%
